no,field_name,source_name,destination_table,concat_original_field_name,original_table
1,customer_key,A,all,cust_key_ogn,source_a_cust_master
2,customer_type,A,all,cust_typ,source_a_cust_master
3,customer_id_type,A,temp_id,cust_id_typ,source_a_cust_master
4,customer_id,A,temp_id,cust_id_no,source_a_cust_master
5,title,A,temp_name,cust_ttl1+cust_ttl2,source_a_cust_master
6,first_name,A,temp_name,cust_first_nm,source_a_cust_master
7,family_name,A,temp_name,cust_fmly_nm,source_a_cust_master
8,firm_name,A,temp_name,cust_firm_nm,source_a_cust_master
9,firm_branch_name,A,temp_name,,source_a_cust_master
10,mobile_no,A,temp_mobile,,source_a_cust_master
11,telephone_no,A,temp_telephone,,source_a_cust_master
12,extend_no,A,temp_telephone,,source_a_cust_master
13,fax_no,A,temp_fax,,source_a_cust_master
14,email,A,temp_email,cust_email,source_a_cust_master
15,address_type,A,temp_address,,source_a_cust_master
16,address_no,A,temp_address,,source_a_cust_master
17,road,A,temp_address,,source_a_cust_master
18,sub_district,A,temp_address,,source_a_cust_master
19,district,A,temp_address,,source_a_cust_master
20,province,A,temp_address,,source_a_cust_master
21,zip_code,A,temp_address,,source_a_cust_master
22,social_id,A,temp_social_id,lineid,source_a_cust_master
23,birth_date,A,temp_birthdate,cust_dob,source_a_cust_master
24,gender,A,temp_gender,cust_sex,source_a_cust_master
25,occupation,A,temp_occupation,cust_occup_cd,source_a_cust_master
26,marital_status,A,temp_marital_status,cust_marital_sts,source_a_cust_master
27,income,A,temp_income,cust_income,source_a_cust_master
28,qualification,A,temp_qualification,cust_qual,source_a_cust_master
29,religion,A,temp_religion,cust_rlgn_cd,source_a_cust_master
30,nationality,A,temp_nationality,cust_nationality,source_a_cust_master
31,create_date,A,all,cre_dt,source_a_cust_master
32,update_date,A,all,update_dt,source_a_cust_master
1,customer_key,A,all,cust_key_ogn,source_a_cust_address
2,customer_type,A,all,,source_a_cust_address
3,customer_id_type,A,temp_id,,source_a_cust_address
4,customer_id,A,temp_id,,source_a_cust_address
5,title,A,temp_name,,source_a_cust_address
6,first_name,A,temp_name,,source_a_cust_address
7,family_name,A,temp_name,,source_a_cust_address
8,firm_name,A,temp_name,,source_a_cust_address
9,firm_branch_name,A,temp_name,,source_a_cust_address
10,mobile_no,A,temp_mobile,mobile,source_a_cust_address
11,telephone_no,A,temp_telephone,,source_a_cust_address
12,extend_no,A,temp_telephone,,source_a_cust_address
13,fax_no,A,temp_fax,,source_a_cust_address
14,email,A,temp_email,,source_a_cust_address
15,address_type,A,temp_address,,source_a_cust_address
16,address_no,A,temp_address,,source_a_cust_address
17,road,A,temp_address,,source_a_cust_address
18,sub_district,A,temp_address,,source_a_cust_address
19,district,A,temp_address,,source_a_cust_address
20,province,A,temp_address,,source_a_cust_address
21,zip_code,A,temp_address,,source_a_cust_address
22,social_id,A,temp_social_id,,source_a_cust_address
23,birth_date,A,temp_birthdate,,source_a_cust_address
24,gender,A,temp_gender,,source_a_cust_address
25,occupation,A,temp_occupation,,source_a_cust_address
26,marital_status,A,temp_marital_status,,source_a_cust_address
27,income,A,temp_income,,source_a_cust_address
28,qualification,A,temp_qualification,,source_a_cust_address
29,religion,A,temp_religion,,source_a_cust_address
30,nationality,A,temp_nationality,,source_a_cust_address
31,create_date,A,all,create_date,source_a_cust_address
32,update_date,A,all,update_date,source_a_cust_address
1,customer_key,B,all,cust_key_ogn,source_b_cust_master
2,customer_type,B,all,ctm_cust_typ,source_b_cust_master
3,customer_id_type,B,temp_id,acd_cst_id,source_b_cust_master
4,customer_id,B,temp_id,,source_b_cust_master
5,title,B,temp_name,acd_cst_ttl,source_b_cust_master
6,first_name,B,temp_name,acd_fst_nm,source_b_cust_master
7,family_name,B,temp_name,acd_fmly_nm,source_b_cust_master
8,firm_name,B,temp_name,acd_firm_nm,source_b_cust_master
9,firm_branch_name,B,temp_name,,source_b_cust_master
10,mobile_no,B,temp_mobile,acd_mob_no,source_b_cust_master
11,telephone_no,B,temp_telephone,acd_tel_no,source_b_cust_master
12,extend_no,B,temp_telephone,,source_b_cust_master
13,fax_no,B,temp_fax,acd_fx_no,source_b_cust_master
14,email,B,temp_email,acd_email_add,source_b_cust_master
15,address_type,B,temp_address,,source_b_cust_master
16,address_no,B,temp_address,acd_cnt_adr,source_b_cust_master
17,road,B,temp_address,acd_adr_road,source_b_cust_master
18,sub_district,B,temp_address,acd_adr_dstt,source_b_cust_master
19,district,B,temp_address,acd_adr_prv,source_b_cust_master
20,province,B,temp_address,acd_zp_cd,source_b_cust_master
21,zip_code,B,temp_address,,source_b_cust_master
22,social_id,B,temp_social_id,,source_b_cust_master
23,date_of_birth,B,temp_birthdate,acd_cst_bd,source_b_cust_master
24,gender,B,temp_gender,,source_b_cust_master
25,occupation,B,temp_occupation,acd_cst_ocp,source_b_cust_master
26,marital_status,B,temp_marital_status,,source_b_cust_master
27,income,B,temp_income,,source_b_cust_master
28,qualification,B,temp_qualification,,source_b_cust_master
29,religion,B,temp_religion,,source_b_cust_master
30,nationality,B,temp_nationality,,source_b_cust_master
31,create_date,B,all,acd_cre_dt,source_b_cust_master
32,update_date,B,all,acd_upd_dt,source_b_cust_master
1,customer_key,C,all,cust_key,source_c_cust_master
2,customer_type,C,all,,source_c_cust_master
3,customer_id_type,C,temp_id,,source_c_cust_master
4,customer_id,C,temp_id,,source_c_cust_master
5,title,C,temp_name,,source_c_cust_master
6,first_name,C,temp_name,cust_name,source_c_cust_master
7,family_name,C,temp_name,,source_c_cust_master
8,firm_name,C,temp_name,,source_c_cust_master
9,firm_branch_name,C,temp_name,,source_c_cust_master
10,mobile_no,C,temp_mobile,,source_c_cust_master
11,telephone_no,C,temp_telephone,,source_c_cust_master
12,extend_no,C,temp_telephone,,source_c_cust_master
13,fax_no,C,temp_fax,,source_c_cust_master
14,email,C,temp_email,,source_c_cust_master
15,address_type,C,temp_address,,source_c_cust_master
16,address_no,C,temp_address,,source_c_cust_master
17,road,C,temp_address,,source_c_cust_master
18,sub_district,C,temp_address,,source_c_cust_master
19,district,C,temp_address,,source_c_cust_master
20,province,C,temp_address,,source_c_cust_master
21,zip_code,C,temp_address,,source_c_cust_master
22,social_id,C,temp_social_id,,source_c_cust_master
23,date_of_birth,C,temp_birthdate,,source_c_cust_master
24,gender,C,temp_gender,,source_c_cust_master
25,occupation,C,temp_occupation,,source_c_cust_master
26,marital_status,C,temp_marital_status,,source_c_cust_master
27,income,C,temp_income,,source_c_cust_master
28,qualification,C,temp_qualification,,source_c_cust_master
29,religion,C,temp_religion,,source_c_cust_master
30,nationality,C,temp_nationality,,source_c_cust_master
31,create_date,C,all,cre_dt,source_c_cust_master
32,update_date,C,all,upd_dt,source_c_cust_master
1,customer_key,C,all,cust_cd,source_c_cust_profile
2,customer_type,C,all,,source_c_cust_profile
3,customer_id_type,C,temp_id,,source_c_cust_profile
4,customer_id,C,temp_id,,source_c_cust_profile
5,title,C,temp_name,,source_c_cust_profile
6,first_name,C,temp_name,,source_c_cust_profile
7,family_name,C,temp_name,,source_c_cust_profile
8,firm_name,C,temp_name,,source_c_cust_profile
9,firm_branch_name,C,temp_name,,source_c_cust_profile
10,mobile_no,C,temp_mobile,mob_1|mob_2,source_c_cust_profile
11,telephone_no,C,temp_telephone,,source_c_cust_profile
12,extend_no,C,temp_telephone,,source_c_cust_profile
13,fax_no,C,temp_fax,,source_c_cust_profile
14,email,C,temp_email,,source_c_cust_profile
15,address_type,C,temp_address,,source_c_cust_profile
16,address_no,C,temp_address,,source_c_cust_profile
17,road,C,temp_address,,source_c_cust_profile
18,sub_district,C,temp_address,,source_c_cust_profile
19,district,C,temp_address,,source_c_cust_profile
20,province,C,temp_address,province,source_c_cust_profile
21,zip_code,C,temp_address,,source_c_cust_profile
22,social_id,C,temp_social_id,,source_c_cust_profile
23,date_of_birth,C,temp_birthdate,,source_c_cust_profile
24,gender,C,temp_gender,,source_c_cust_profile
25,occupation,C,temp_occupation,,source_c_cust_profile
26,marital_status,C,temp_marital_status,,source_c_cust_profile
27,income,C,temp_income,,source_c_cust_profile
28,qualification,C,temp_qualification,,source_c_cust_profile
29,religion,C,temp_religion,,source_c_cust_profile
30,nationality,C,temp_nationality,,source_c_cust_profile
31,create_date,C,all,cre_dt,source_c_cust_profile
32,update_date,C,all,upd_dt,source_c_cust_profile
1,customer_key,C,all,cust_key_ogn,source_c_cust_demographic
2,customer_type,C,all,,source_c_cust_demographic
3,customer_id_type,C,temp_id,,source_c_cust_demographic
4,customer_id,C,temp_id,,source_c_cust_demographic
5,title,C,temp_name,,source_c_cust_demographic
6,first_name,C,temp_name,,source_c_cust_demographic
7,family_name,C,temp_name,,source_c_cust_demographic
8,firm_name,C,temp_name,,source_c_cust_demographic
9,firm_branch_name,C,temp_name,,source_c_cust_demographic
10,mobile_no,C,temp_mobile,,source_c_cust_demographic
11,telephone_no,C,temp_telephone,,source_c_cust_demographic
12,extend_no,C,temp_telephone,,source_c_cust_demographic
13,fax_no,C,temp_fax,,source_c_cust_demographic
14,email,C,temp_email,,source_c_cust_demographic
15,address_type,C,temp_address,,source_c_cust_demographic
16,address_no,C,temp_address,,source_c_cust_demographic
17,road,C,temp_address,,source_c_cust_demographic
18,sub_district,C,temp_address,,source_c_cust_demographic
19,district,C,temp_address,,source_c_cust_demographic
20,province,C,temp_address,,source_c_cust_demographic
21,zip_code,C,temp_address,,source_c_cust_demographic
22,social_id,C,temp_social_id,,source_c_cust_demographic
23,date_of_birth,C,temp_birthdate,,source_c_cust_demographic
24,gender,C,temp_gender,gender,source_c_cust_demographic
25,occupation,C,temp_occupation,occupation,source_c_cust_demographic
26,marital_status,C,temp_marital_status,,source_c_cust_demographic
27,income,C,temp_income,,source_c_cust_demographic
28,qualification,C,temp_qualification,,source_c_cust_demographic
29,religion,C,temp_religion,,source_c_cust_demographic
30,nationality,C,temp_nationality,,source_c_cust_demographic
31,create_date,C,all,cre_dt,source_c_cust_demographic
32,update_date,C,all,upd_dt,source_c_cust_demographic
